IATA,CITY,STATE
ABQ,Albuquerque,NM
ANC,Anchorage,AK
ATL,Atlanta,GA
AUS,Austin,TX
BDL,Windsor Locks,CT
BHM,Birmingham,AL
BNA,Nashville,TN
BOS,Boston,MA
BUF,Buffalo,NY
BUR,Burbank,CA
BWI,Baltimore,MD
CHS,Charleston,SC
CLE,Cleveland,OH
CLT,Charlotte,NC
CMH,Columbus,OH
CVG,Covington,KY
DAL,Dallas,TX
DCA,Arlington,VA
DEN,Denver,CO
DFW,Dallas-Fort Worth,TX
DTW,Detroit,MI
ELP,El Paso,TX
EWR,Newark,NJ
FLL,Ft. Lauderdale,FL
HNL,Honolulu,HI
HOU,Houston,TX
IAD,Chantilly,VA
IAH,Houston,TX
IND,Indianapolis,IN
JAX,Jacksonville,FL
JFK,New York,NY
LAS,Las Vegas,NV
LAX,Los Angeles,CA
LGA,New York,NY
LIT,Little Rock,AR
MCI,Kansas City,MO
MCO,Orlando,FL
MDW,Chicago,IL
MEM,Memphis,TN
MIA,Miami,FL
MKE,Milwaukee,WI
MSP,Minneapolis,MN
MSY,New Orleans,LA
OAK,Oakland,CA
OGG,Kahului,HI
OKC,Oklahoma City,OK
OMA,Omaha,NE
ONT,Ontario,CA
ORD,Chicago,IL
ORF,Norfolk,VA
PBI,West Palm Beach,FL
PDX,Portland,OR
PHL,Philadelphia,PA
PHX,Phoenix,AZ
PIT,Pittsburgh,PA
PVD,Providence,RI
RDU,Raleigh,NC
RIC,Richmond,VA
RNO,Reno,NV
RSW,Ft. Myers,FL
SAN,San Diego,CA
SAT,San Antonio,TX
SDF,Louisville,KY
SEA,Seattle,WA
SFO,San Francisco,CA
SJC,San Jose,CA
SJU,San Juan,PR
SLC,Salt Lake City,UT
SMF,Sacramento,CA
SNA,Santa Ana,CA
STL,St Louis,MO
TPA,Tampa,FL
TUL,Tulsa,OK
TUS,Tucson,AZ
ABE,Allentown,PA
ABI,Abilene,TX
ABR,Aberdeen,SD
ABY,Albany,GA
ACK,Nantucket,MA
ACT,Waco,TX
ACV,Arcata Eureka,CA
ACY,Atlantic City,NJ
ADK,Adak,AK
ADQ,Kodiak,AK
AEX,Alexandria,LA
AGS,Augusta,GA
AKN,King Salmon,AK
ALB,Albany,NY
ALO,Waterloo,IA
AMA,Amarillo,TX
APN,Alpena,MI
ART,Watertown,NY
ASE,Aspen,CO
ATW,Appleton,WI
AVL,Asheville,NC
AVP,Wilkes-Barre Scranton,PA
AZO,Kalamazoo,MI
BET,Bethel,AK
BFL,Bakersfield,CA
BGM,Binghamton,NY
BGR,Bangor,ME
BIL,Billings,MT
BIS,Bismarck,ND
BJI,Bemidji,MN
BLI,Bellingham,WA
BMI,Bloomington,IL
BOI,Boise,ID
BPT,Beaumont Port Arthur,TX
BQK,Brunswick,GA
BQN,Aguadilla,PR
BRD,Brainerd,MN
BRO,Brownsville,TX
BRW,Barrow,AK
BTM,Butte,MT
BTR,Baton Rouge,LA
BTV,Burlington,VT
BZN,Bozeman,MT
CAE,Columbia,SC
CAK,Akron,OH
CDC,Cedar City,UT
CDV,Cordova,AK
CEC,Crescent City,CA
CHA,Chattanooga,TN
CHO,Charlottesville,VA
CIC,Chico,CA
CID,Cedar Rapids,IA
CIU,Sault Ste. Marie,MI
CLD,NA,NA
CLL,College Station,TX
CMI,Champaign Urbana,IL
CMX,Hancock,MI
CNY,Moab,UT
COD,Cody,WY
